タイトル,課題,サービス内容,URL,
近鉄リテーリング、冷凍ギョーザに異物844袋自主回収,クレーム対応のコールセンター,IS_コール,https://www.nikkei.com/article/DGXZQOUF120VN0S4A510C2000000/,
アニフル、犬猫用サポーターをレンタル,EC支援,IS_EC,https://www.nikkei.com/article/DGXZQOUC107K00Q4A510C2000000/,
森へ還る「循環葬」自分で選ぶエンディング,認知拡大,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOCD0105R0R00C24A5000000/,
ヤマダHD、ロボット活用し遠隔接客ANA系と提携,オンライン接客,IS_オンライン接客,https://www.nikkei.com/article/DGXZQOUC216TU0R20C24A5000000/,
ニトリ、スマホでAR家具試し置き300品に対応,メタバース,XR_【メタ_直】体験サービス,https://www.nikkei.com/article/DGXZQOUC219D00R20C24A5000000/,
東京電力、慶応と家庭用電力買い集め「卒FIT」に照準,一般家庭向け卒FIT支援,FS_営業_BtoC,https://www.nikkei.com/article/DGXZQOUC1196U0R10C24A4000000/,
ポーラ、8年ぶりアメニティ新ブランド高級ホテル照準,販促支援,FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOUC2490R0U4A420C2000000/,
ロボットと人の共存にルールを日建設計がイベント,,FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOUC233GO0T20C24A5000000/,
JR広島駅の新ビルに200店舗シャネル直営店も,新店舗の販売員不足,FS_販売_アパレルコスメ,https://www.nikkei.com/article/DGXZQOCC236FJ0T20C24A5000000/,
JR西日本、「地方ワーク」に交通費支援人材マッチング,,IS_コール,https://www.nikkei.com/article/DGXZQOUF222JP0S4A520C2000000/,
GYXUS、石こうボードを水平リサイクル環境対応を推進,営業リソースの不足,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC233K60T20C24A5000000/,
家庭も新電力離れ、23年は初の流出超料金競争に息切れ,契約奪回サービス,IS_コール,https://www.nikkei.com/article/DGXZQOUC194J70Z10C24A4000000/,
コクヨ、原宿の商業施設でデザイナー体験カード作成,社員のコア業務専念,FS_販売_その他,https://www.nikkei.com/article/DGXZQOUF15AMC0V10C24A4000000/,
マツキヨココ、化粧品の接客記録をスマホ公開500店で,スマホの案内人,FS_販売_アパレルコスメ,https://www.nikkei.com/article/DGXZQOUC1757B0X10C24A4000000/,
エアウィーヴ、寝具再利用へ自治体と協定購入補助など,販路拡大、補助金のサポート,FS_販売_その他,https://www.nikkei.com/article/DGXZQOUC306OF0Q4A530C2000000/,
横浜市「卒FIT」世帯の蓄電池普及に力東急系など連携,開拓営業,IS_コール,https://www.nikkei.com/article/DGXZQOCC318BO0R30C24A5000000/,
資生堂、対面・デジタルどう両立DXの誤解と突破口,,XR_【メタ_直】人材提供,https://www.nikkei.com/article/DGXZQOUC214DA0R20C24A5000000/,
貝印のホイッパー、異例のヒット生クリーム好きが発案,販路拡大(店頭販売)、オンライン販売,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC279KD0X20C24A5000000/,
自販機のCO2吸収剤、道路に活用アサヒ飲料が実証実験,,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC29BAF0Z20C24A5000000/,
クレジットカード大手、デジタル決済で中小を開拓,営業リソースの不足,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC2992W0Z20C24A5000000/,
Amazonのネットスーパー、無料会員でも利用可能に,スーパーのピッキング、レジ,FS_販売_食品,https://www.nikkei.com/article/DGXZQOUC052X90V00C24A6000000/,
メルカリ、ヤクルト宅配員と不用品回収眠る66兆円発掘,,FS_販売_その他,https://www.nikkei.com/article/DGXZQOUC314AZ0R30C24A5000000/,
メルカリ、隙間仕事でタイミー追うリクルートも参戦,加盟店営業,FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOUC276RH0X20C24A5000000/,
西部ガスHD、LNG輸送力25%拡大法人営業テコ入れ,新規顧客獲得、奪回、切替営業,FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOJC03A420T00C24A6000000/,
常陽銀行と日立、取引先のCO2算出サービス脱炭素支援,常陽銀行顧客にヒヤリングコール,IS_コール,https://www.nikkei.com/article/DGXZQOCC03A6U0T00C24A6000000/,
エステー、花王から買収の「ニャンとも清潔トイレ」発売,小売店へのラウンド業務,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC038RJ0T00C24A6000000/,
岡部、収穫量3倍の海藻養殖装置海の脱炭素需要狙う,取引先開拓のラウンド、営業アシスタント,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC041GD0U4A600C2000000/,
KDDIが描くコンビニ像真の売り物は最新テック,自動配送,FS_販売_その他,https://www.nikkei.com/article/DGXZQOUC309990Q4A530C2000000/,
洗濯乾燥機、売れ筋25万円前後節電機能に関心増,販売員,FS_販売_家電,https://www.nikkei.com/article/DGXZQOUB29AYR0Z20C24A5000000/,
カスハラ、流通系従業員の5割が被害UAゼンセン調査,カスハラ対応のオペレーター,IS_コール,https://www.nikkei.com/article/DGXZQOUC053IJ0V00C24A6000000/,
ヤマハ、横浜に体験型ブランド店未経験者との接点に,施設運営,FS_販売_その他,https://www.nikkei.com/article/DGXZQOCC03BX50T00C24A6000000/,
静岡市、農地集約や企業誘致へ新法人空き家流通も促進,空き家調査,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOCC045EQ0U4A600C2000000/,
イオン系アパレルのコックス、都心駅ビルも出店狙う,店舗出店における人材確保,FS_販売_アパレルコスメ,https://www.nikkei.com/article/DGXZQOUC31B0W0R30C24A5000000/,
ラクスル、消耗品ECサイト開設　同アカウントで利用可,拡販営業支援/EC人材支援,IS_コール,https://www.nikkei.com/article/DGXZQOUC06BM70W4A600C2000000/,
新幹線のぞみ座席生地でゴルフ用品　JR東海、ECに力,EC人材,IS_EC,https://www.nikkei.com/article/DGXZQOFD212A80R20C24A5000000/,
TOTO、肌ケアなど3機能を搭載したシャワーヘッド,"toB店舗販売/住宅設備会社/物件オーナー営業
toC個人宅へのラウンド営業業務",FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOUC061Y40W4A600C2000000/,
Visaのタッチ決済、普及加速へ　まずは「大阪を攻略」,"toBタッチ決済加盟店開拓
toC会員獲得",FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC275ZX0X20C24A5000000/,
通訳アプリのオイラ、大手法人開拓　旅行・保険など20社,"toB法人開拓、
toC通訳者登録増加",FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC232K10T20C24A5000000/,
リクルート、3メガバンクと法人口座の開設仲介で提携,加盟店開拓,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC077700X00C24A6000000/,
固定価格買い取り制度とは　再エネの普及後押し,"toB向け：卒FITを迎えた個人への新たなサービス提供
toC向け：再エネを使用したい事業者の開拓",FS_営業_BtoC,https://www.nikkei.com/article/DGXZQOUA114LO0R10C24A6000000/,
太陽光パネルのリサイクル義務化へ　政府、法制化検討,太陽光パネルの点検,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUA29AVP0Z20C24A5000000/,
ノーリツ、カビ発生抑制の浴室暖房乾燥機　9月発売,老人ホームやホテルなどのtoB向けの販路拡大が必要,FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOUF0665O0W4A600C2000000/,
御殿場アウトレットに充電設備導入　災害対策強化,設置場所開拓・定期点検,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOCC113RV0R10C24A6000000/,
テレワーク用ブース、屋外に　ブイキューブ系が開発,ブース設置先のラウンド業務,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC10ASK0Q4A410C2000000/,
農業IoT機器、通信網整備で事業拡大　宇都宮のfarmo,基地局の開拓、定期点検,FS_営業_BtoC,https://www.nikkei.com/article/DGXZQOCC10CMN0Q4A610C2000000/,
「ロピア」のOICグループ、韓国コスメ1号店　千葉で,販売員の不足,FS_販売_アパレルコスメ,https://www.nikkei.com/article/DGXZQOUC136K90T10C24A6000000/,
パーソル、社内副業の管理システム外販　人材スキル把握,営業リソースの不足,FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOUC131D30T10C24A6000000/,
マネフォが資産形成支援「銀・証・保」仲介の参入加速,サービス販路の拡大,FS_営業_BtoC,https://www.nikkei.com/article/DGXZQOUB144ZW0U4A610C2000000/,
MUJI、インフラゼロでも暮らせる家　宿泊実験開始,問合せリソース、受付,IS_コール,https://www.nikkei.com/article/DGXZQOUC0678S0W4A600C2000000/,
星野リゾート、ディズニー近くに開業　1泊9000円から,ホテル受付,FS_販売_その他,https://www.nikkei.com/article/DGXZQOCC191EJ0Z10C24A6000000/,
静岡のシーラックがホテル拡大、本業の食品とニッチ開拓,ホテル関連,FS_販売_その他,https://www.nikkei.com/article/DGXZQOCC175ZS0X10C24A6000000/,
四国ツーリズム機構、体験型旅行の普及促進へガイド育成,観光支援,FS_販売_その他,https://www.nikkei.com/article/DGXZQOCC183NE0Y4A610C2000000/,
労務・経理丸ごとクラウドに委託「BPaaS」中小で広がる,"事務系：事務員派遣、
営業系：サービス開拓",FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOUC12C3J0S4A610C2000000/,
下関市、空き家リノベでお試し居住　新興2社がアシスト,プロモーション,IS_その他,https://www.nikkei.com/article/DGXZQOCC17A700X10C24A6000000/,
ユビーで症状検索、月1000万人超に　マイナポータル連携,アプリ会員獲得,FS_営業_BtoC,https://www.nikkei.com/article/DGXZQOUC165720W4A510C2000000/,
「ワークマン男子」誕生　アウトドア女子からの原点回帰,販路拡大,IS_コール,https://www.nikkei.com/article/DGXZQOCD187F20Y4A610C2000000/,
阪急阪神HD､共通IDで飲食など決済　クレカとひも付け,アプリ会員獲得,FS_営業_BtoC,https://www.nikkei.com/article/DGXZQOUF218ND0R20C24A6000000/,
ヨドバシ、体験型の美容専門店　池袋に21日開業,,FS_販売_その他,https://www.nikkei.com/article/DGXZQOUC204JW0Q4A620C2000000/,
コールマン、LINEで気軽にキャンプ相談　未経験者を支援,メタ空間を活用して、キャンプをよりリアルに感じてもらう,XR_【メタ_直】体験サービス,https://www.nikkei.com/article/DGXZQOUC05B1O0V00C24A6000000/,
マックス、「脱プラ」ホチキス　本体に木材や革の端材,高級ホッチキスのため、訴求をしないと売れない,FS_販売_デモンストレーション,https://www.nikkei.com/article/DGXZQOUC188010Y4A610C2000000/,
コーセー、敏感肌向け角質ケアの美容液　「雪肌精」で,,FS_販売_アパレルコスメ,https://www.nikkei.com/article/DGXZQOUC215D90R20C24A6000000/,
TOTO、高級システムバスを6年ぶり刷新　改修需要に的,代理店へのラウンド業務,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC202W00Q4A620C2000000/,
コジマ、静岡初の任天堂特設売り場　体験コーナーも,,FS_販売_家電,https://www.nikkei.com/article/DGXZQOCC216EJ0R20C24A6000000/,
日本酒選びにAIが助言　高崎高島屋、和洋酒売り場に導入,人材コスト,FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOCC179AC0X10C24A6000000/,
三陽商会がリユース品販売　環境配慮、若年層など開拓も,リユース品の販売員、店舗作り,FS_販売_アパレルコスメ,https://www.nikkei.com/article/DGXZQOUC20DOP0Q4A620C2000000/,
普段使いできる結婚式場、越谷に　カフェやスタジオ併設,,FS_バックヤード_ホテル・レジャー,https://www.nikkei.com/article/DGXZQOCC208900Q4A620C2000000/,
電動キックボードのLuup、地方の「ちょい乗り」開拓,,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC178M60X10C24A6000000/,
｢キャッシュレスで十分だ｣　20年ぶり新紙幣、需要は下火,券売機の入れ替え対応,IS_コール,https://www.nikkei.com/article/DGXZQOUA181VE0Y4A610C2000000/,
イマドキ部下をどう伸ばす？,アイスブレイク話題,XR_【メタ_直】体験サービス,https://reskill.nikkei.com/article/DGXZQOLM219HQ0R20C24A6000000/?n_cid=TPRN0002,
マッシュHDとグンゼ、立ち仕事の女性向け下着発売,EC人材の不足,IS_EC,https://www.nikkei.com/article/DGXZQOUC253WB0V20C24A6000000/,
三井不動産、飲食店支援の新会社　料理を冷凍し通販,飲食店の開拓,FS_営業_BtoC,https://www.nikkei.com/article/DGXZQOUC252P60V20C24A6000000/,
ウエルシア、自社PBから美容液6品発売　植物由来,新商品のVOC取得,FS_その他,https://www.nikkei.com/article/DGXZQOUC260QI0W4A620C2000000/,
「まいばすけっと」､ウーバーが買い物代行　30分で配達,買い物代行,FS_販売_その他,https://www.nikkei.com/article/DGXZQOUC266AG0W4A620C2000000/,
